             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           2212072     batch node_scr stf002_a PD       0:00   7500 (BeginTime)
           2224989     batch 2000node  lzlwell PD       0:00   2283 (Resources)
           2218741     batch    crd_4 jtempkin PD       0:00    100 (AssocMaxJobsLimit)
           2219769     batch       MD jingxuan PD       0:00    600 (Priority)
           2219770     batch       MD jingxuan PD       0:00    600 (Priority)
           2219772     batch       MD jingxuan PD       0:00    600 (Priority)
           2219889     batch T65TORPO   mliska PD       0:00    600 (Priority)
           2220230     batch    1link    detar PD       0:00    128 (Priority)
           2220234     batch    1link    detar PD       0:00    128 (Priority)
           2220245     batch    1link    detar PD       0:00    128 (Priority)
           2219538     batch hpt_rhol   tjelly PD       0:00    140 (Priority)
           2228045     batch hdcgphys  paboyle PD       0:00     18 (Priority)
           2220719     batch Project/ pschoenh PD       0:00    136 (Priority)
           2217740     batch prod35_N  skhatua PD       0:00    256 (Priority)
           2221172     batch       E9  detmold PD       0:00    448 (Priority)
           2221174     batch       E9  detmold PD       0:00    448 (Priority)
           2208256     batch 1850000-  jmgonza PD       0:00   1024 (Priority)
           2221046     batch    crd_1 jtempkin PD       0:00     20 (AssocMaxJobsLimit)
           2221202     batch  rotmask   tjelly PD       0:00    240 (Priority)
           2221466     batch CRMHL_TU     mpw2 PD       0:00    200 (Priority)
           2221469     batch CRMHL_TU     mpw2 PD       0:00    200 (Priority)
           2221472     batch CRMHL_TU     mpw2 PD       0:00    200 (Priority)
           2221475     batch debugfar  kbrown1 PD       0:00    128 (Priority)
           2221525     batch ncsd-run navratil PD       0:00   1024 (Priority)
           2221532     batch producti    tpaul PD       0:00     64 (Priority)
           2221557     batch 2007_Ely   anupam PD       0:00    440 (Priority)
           2221559     batch producti    tpaul PD       0:00     64 (Priority)
           2221592     batch     2007   anupam PD       0:00    440 (Priority)
           2221677     batch 1969_Mw8   anupam PD       0:00    330 (Priority)
           2221815     batch     test     jahn PD       0:00    384 (Priority)
           2221875     batch 144x120S  dsambit PD       0:00    120 (Priority)
           2221878     batch 144x120M  dsambit PD       0:00    120 (Priority)
           2221925     batch ag470_td wenchang PD       0:00     64 (Priority)
           2208259     batch 50000-vi  jmgonza PD       0:00   1024 (Priority)
           2208257     batch 2050000-  jmgonza PD       0:00   1024 (Priority)
           2219703     batch LABY_A20 aclark20 PD       0:00    200 (Priority)
           2219705     batch LABY_A14 aclark20 PD       0:00    200 (Priority)
           2208260     batch 250000-v  jmgonza PD       0:00   1024 (Priority)
           2218023     batch Filt0_al fzabalet PD       0:00     32 (Priority)
           2222364     batch 334_Kago   tmaier PD       0:00    640 (Priority)
           2217199     batch     full  des2037 PD       0:00     50 (Priority)
           2216924     batch     POSF sreejith PD       0:00     96 (Priority)
           2216893     batch     A74R sreejith PD       0:00    128 (Priority)
           2216992     batch      H76 sreejith PD       0:00     96 (Priority)
           2218005     batch Filt0_al fzabalet PD       0:00     32 (Priority)
           2223782     batch   LMI-E1   mlynch PD       0:00    324 (Priority)
           2216084     batch  dctdck2   priebe PD       0:00    120 (Priority)
           2224492     batch      tnf bsoriano PD       0:00    184 (Priority)
           2224965     batch KateLDRD   arpans PD       0:00     24 (Priority)
           2152113     batch strain_1  sohailt PD       0:00    100 (Priority)
           2217626     batch E312D_Q5 margarid PD       0:00     57 (Priority)
           2217655     batch Q52E_mfs margarid PD       0:00     57 (Priority)
           2219226     batch coyo700m   wilson PD       0:00     16 (Priority)
           2226090     batch frontier nfrontie PD       0:00     64 (Priority)
           2226095     batch RADT65TO   mliska PD       0:00     50 (Priority)
           2220718     batch mhc_tcr-    vwslz PD       0:00     30 (Priority)
           2226245     batch CS_2048_   diegog PD       0:00     64 (Priority)
           2152114     batch strain_1  sohailt PD       0:00    100 (Priority)
           2226423     batch   LMI-D1   mlynch PD       0:00    324 (Priority)
           2220788     batch    m3dc1    cliu1 PD       0:00     32 (Priority)
           2226704     batch TRANS_XR   mliska PD       0:00     16 (Priority)
           2226719     batch T65TORPO   mliska PD       0:00    600 (Priority)
           2220250     batch    1link    detar PD       0:00    128 (Priority)
           2226905     batch ag470_td elbriggs PD       0:00     64 (Priority)
           2226906     batch       gl     ccui PD       0:00     10 (Priority)
           2221025     batch      qmc   abdulg PD       0:00     52 (Priority)
           2221026     batch      qmc   abdulg PD       0:00     52 (Priority)
